artist,song_name,lyric
지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),"['기분이 째져', ""Ayy who's the best dresser"", '반경 100m 누가 젤 튀어', '잘 되면 셀럽', '못 되면 평생 리셀러', '내 개성은 시대를 안 타 huh', '안 타 cause', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '브랜드 묻는 DM이 와', 'I’m too sexy', '헌 집 주고 새집', '프리미엄이 붙어', '두 배, 세 배, 네 배 yeah', '나는 새삥', '11년째 freshman', '유명세를 걷어', '현찰 대신 스펙을 stackin’', 'Ooh! You’re not savage', '남의 멋만 쌔비지', '난 취향을 감춰 그래', '내 세컨 카는 수수께끼', 'Show and prove의 심볼', '넘볼 수 없는 임금', 'The king is back 뽷!', '다시 ’코’시국', '암만 영끌해도 근본은 절대 못 사', '눈팅으로 배운 너의 street fashion', '뚜까 패고파', '기분이 째져', ""Ayy who's the best dresser"", '반경 100m 누가 젤 튀어', '잘 되면 셀럽', '못 되면 평생 리셀러', '내 개성은 시대를 안 타 huh', '안 타 cause', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '브랜드 묻는 DM이 와', 'I’m too sexy', '헌 집 주고 새집', '프리미엄이 붙어', '두 배, 세 배, 네 배 yeah', '아마 나는 오늘도', '미치게 하겠지 workin’', '이유는 뻔하지 새로운 옷이', '알어 니 위치는 겉만 하지 마', '건방 빌린 게 티 나서 bro', '이제 여름이 오니까 준비해', '내 목에다 채워질 아이스체인', '1234 옷을 세는 것도 지겨워 man', 'New thang', 'I love my hates', '원해 new chain', '우리 엄만 생일마다', '새 가방이 생기지', '신기록 갱신', '우린 없어 배신', '나는 매일 새신', 'Yessir I really came from zero', '그래서 2배로 work', '책임을 가진 삶은 생각보다 괴로워', ""언제나 let's go hard"", '내 옷은 새로워', '난 운전할 때마다 맨 앞이라 외로워', '안 무셔 drip check', '내 옷들은 늘 새삥', '아무도 못 말려 나란 바닥노무 쉐낀', '멈출 수 없어 난 쌓아야 해 stack', '안전모를 썼던', '나는 절대 못해 cap', '기분이 째져', ""Ayy who's the best dresser"", '반경 100m 누가 젤 튀어', '잘 되면 셀럽', '못 되면 평생 리셀러', '내 개성은 시대를 안 타 huh', '안 타 cause', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '브랜드 묻는 DM이 와', 'I’m too sexy', '헌 집 주고 새집', '프리미엄이 붙어', '두 배, 세 배, 네 배 yeah', '나는 새삥 모든 게 다 새삥']"
IVE (아이브),After LIKE,"['또 모르지 내 마음이', '저 날씨처럼 바뀔지', '날 나조차 다 알 수 없으니', '그게 뭐가 중요하니', '지금 네게 완전히', '푹 빠졌단 게 중요한 거지', '아마 꿈만 같겠지만', '분명 꿈이 아니야', '달리 설명할 수 없는', '이건 사랑일 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?"", '조심해 두 심장에 핀', '새파란 이 불꽃이', '저 태양보다 뜨거울 테니', '난 저 위로 또 아래로', '내 그래프는 폭이 커', ""Yeah that's me"", '두 번 세 번 피곤하게', '자꾸 질문하지 마', '내 장점이 뭔지 알아?', '바로 솔직한 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?"", 'What after like 내 맘에 strike', '지금 느낀 짜릿함은 마치 tike', 'LO 다음에 I 그 다음에 VE', '여긴 너와 내 space', '아무도 막지 못해', '나를 보면 눈 깜빡할', '시간 조차도 아까울 걸', '드디어 만나 반가워', 'LOVE 사이 놓일 I', ""(What's after 'LIKE'?)"", 'You and I', ""It's more than 'LIKE'"", 'E 앞 또 V 앞 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", 'You and I', ""It's more than 'LIKE'"", 'L 다음 또 O 다음 난 yeah', 'You and I', ""It's more than 'LIKE'"", ""What's after 'LIKE'?"", ""What's after 'LIKE'?""]"
NewJeans,Hype boy,"['(1,2,3,4)', 'Baby, got me looking so crazy', '빠져버리는 daydream', 'Got me feeling you', '너도 말해줄래', '', '누가 내게 뭐라든', '남들과는 달라 넌', 'Maybe you could be the one', '', '날 믿어봐 한번', 'I’m not looking for just fun', 'Maybe I could be the one', '', 'Oh baby', '예민하대 나 lately', '너 없이는 매일 매일이 yeah', '재미없어 어쩌지', '', 'I just want you', 'Call my phone right now', 'I just wanna hear you’re mine', '', '‘Cause I know what you like boy', 'You’re my chemical hype boy', '내 지난날들은', '눈 뜨면 잊는 꿈', 'Hype boy 너만 원해', 'Hype boy 내가 전해', '', 'And we can go high', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '눈을 감아', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '잠에 들려고 잠에 들려 해도', '네 생각에 또 새벽 세 시 uh-oh', '알려줄 거야 they can’t have you no more', '봐봐 여기 내 이름 써있다고', '누가 내게 뭐라든', '남들과는 달라 넌', 'Maybe you could be the one', '', '날 믿어봐 한번', 'I’m not looking for just fun', 'Maybe I could be the one', '', 'Oh baby', '예민하대 나 lately', '너 없이는 매일 매일이 yeah', '재미없어 어쩌지', '', 'I just want you', 'Call my phone right now', 'I just wanna hear you’re mine', '', '‘Cause I know what you like boy', 'You’re my chemical hype boy', '내 지난날들은', '눈 뜨면 잊는 꿈', 'Hype boy 너만 원해', 'Hype boy 내가 전해', '', 'And we can go high', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy', '', '눈을 감아', '말해봐 yeah', '느껴봐 mm mm', 'Take him to the sky', 'You know I hype you boy']"
BLACKPINK,Shut Down,"['Blackpink in your area', 'Blackpink in your area', '', '컴백이 아냐 떠난 적 없으니까', '고개들이 돌아 진정해 목 꺾일라', '분홍빛의 얼음 drip drip drip freeze ‘em on sight', 'Shut it down what what what what', '', '게임이 아냐 진 적이 없으니까', '짖어봐 네 목에 목줄은 내 거니까', '땅바닥에 닿은 pedal we go two zero five', 'Shut it down uh uh uh uh', '', '초록 비를 내려 머리 위로 Don’t trip, baby', '겸손하게 그냥 앉아있어 Just sit, baby', '', 'Praying for my downfall, many have tried, baby', 'Catch me when you hear my Lamborghini go vroom, vroom, vroom, vroom', '', 'When we pull up you know it’s a shutdown', '간판 내리고 문 잠가 shut down', 'Whip it whip it whip it whip it', 'Whip it whip it whip it whip it', 'It’s black and it’s pink once the sun down', '', 'When we pull up you know it’s a shutdown', '간판 내리고 문 잠가 shut down', 'Whip it whip it whip it whip it', 'Whip it whip it whip it whip it', 'Keep watching me shut it down', '', 'Nah', 'You don’t wanna be on my bad side that’s right I’m slidin’ through', 'Bunch of wannabes that wanna be me, me three if I was you', ""Been around the world, pearls on ya girl, VVS's we invested uh"", 'Need a lesson see the necklace, see these dresses', 'We don’t buy it we request it uh', '', 'A rockstar, a popstar but rowdier', ""Say bye to the paparazzi, get my good side, I'll smile for ya"", 'Know it ain’t fair to ya, it’s scarin’ ya like what now', 'Blackpink in your area, the area been shut down. It’s a shutdown', '', '네 다음 답안지야 똑바로 봐 don’t sleep baby', '뒤집어봐 이건 가격표야 ain’t cheap baby', '', 'Stay in your own lane ‘cause I’m ‘bout to swerve', 'Catch me when you hear my Lamborghini go vroom, vroom, vroom, vroom', '', 'When we pull up you know it’s a shutdown', '간판 내리고 문 잠가 shut down', '', '', 'Whip it whip it whip it whip it', 'Whip it whip it whip it whip it', '', 'It’s black and it’s pink once the sun down', '', 'When we pull up you know it’s a shutdown', '간판 내리고 문 잠가 shut down', '', 'Whip it whip it whip it whip it', 'Whip it whip it whip it whip it', '', 'Keep watching me shut it down', '', 'Shut it down Blackpink in your area', 'Shut it down woah woah woah woah', 'Shut it down Blackpink in your area', 'Keep talking we shut you down']"
NewJeans,Attention,"['You and me', '내 맘이 보이지', '한참을 쳐다봐', '가까이 다가가', 'You see', 'You see, ey ey ey ey', '', 'One, two, three', '용기가 생겼지', '이미 아는 네 눈치', '고개를 돌려 천천히', '여기', 'You see', '여기 보이니', '', 'Looking for attention 너야겠어', '확실하게 나로 만들겠어', 'Stop, eyyy', 'Drop the question', 'Drop the, drop the question', 'Want attention', 'Wanna want attention', '', 'You give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', '널 우연히 마주친 척할래', '못 본 척 지나갈래', 'You’re so fine', 'Gotta gotta get to know ya', '나와 나와 걸어가 줘', '', '지금 돌아서면', 'I need ya, need ya, need ya', 'To look at me back', 'Hey 다 들켰었나', '널 보면 하트가 튀어나와', '', '난 사탕을 찾는 baby (baby)', '내 맘은 설레이지', 'Eyyy, drop the question', 'Drop the, drop the question', 'Want attention', 'Wanna want attention', '', 'You give me butterflies you know', '내 맘은 온통 paradise', '꿈에서 깨워주지 마', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', 'You got me looking for attention', 'You got me looking for attention', '가끔은 정말', '헷갈리지만', '분명한 건', 'Got me looking for attention', '', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'Attention is what I want', 'A T T E N T I on', 'You got me looking for attention']"
Crush,Rush Hour (Feat. j-hope of BTS),"['Yo I’ve been walking on the street yo', '유엔빌리지에서 한강진역', '이태원을 지나왔어 언덕길로', '클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱', '그게 자그마치 2년', '입에 단내가 나 미칠 지경', '작업실로 당당하게 내비 찍어', 'This is Crush hour 비켜라 비켜', '', 'We gotta celebrate 넌 즐기기만 해', '누가 뭐래도 Baby', 'Hey ladies and gentlemen,', 'do what you wanna do baby', '', '그러니까 너넨 히비히비합 질러 빽빽', '다시 Clap clap clap and then hit that', '하나둘 모여 마치 Traffic jam', 'Get up get up', '', '그러니까 너넨 히비히비합 질러 땍땍', '따라 해 어때 생각보다 쉽지', '모두 모여 마치 Traffic jam', 'Get up (get up) get on up', '', 'Yo I’ve been walking on the street yo', '서울숲에서부터 근방 직경', 'But 어딜 가든 이젠 레드카펫 Feel yo', '사진 소리 찰칵찰칵 가는 길마다 찍어 찍어', '붐비는 People, 마치 Traffic 기분', '보험마저 없는 내 미래 비전', 'Y’all trippin’, whole lotta freaks', 'And now, Crush hour 난 그냥 형 따라 직진', '', 'We gotta celebrate 넌 즐기기만 해', '누가 뭐래도 Baby', 'Hey ladies and gentlemen,', 'do what you wanna do baby', '', '그러니까 너넨 히비히비합 질러 빽빽 (빽빽)', '다시 Clap clap clap and then hit that (hit that)', '하나둘 모여 마치 Traffic jam', 'Get up get up', '', '그러니까 너넨 히비히비합 질러 땍땍 (땍땍)', '따라 해 어때 생각보다 쉽지', '모두 모여 마치 Traffic jam', 'Get up (get up, rush hour)', 'Take’em to the bridge', '', 'La la la la la la la la', 'La la la la la la la', 'La la la la la la la la', 'La la la la la la la', '', 'This is Crush hour, Crush hour, Crush hour', 'This is Crush hour, Crush hour, Crush hour', '', 'Watch Out (Watch Out)', 'Watch Out (Watch Out)', '', 'This is Crush hour, Crush hour, Crush hour']"
BLACKPINK,Pink Venom,"['Kick in the door Waving the coco', '팝콘이나 챙겨 껴들 생각 말고', 'I talk that talk Runways I walk walk', '눈 감고 pop pop 안 봐도 척', '', 'One by one then Two by two', '내 손끝 툭 하나에 다 무너지는 중', '가짜 쇼 치곤 화려했지', 'Makes no sense You couldn’t get a dollar outta me', '', '자 오늘 밤이야 난 독을 품은 꽃', '네 혼을 빼앗은 다음 Look what you made us do', '', '천천히 널 잠재울 FIRE 잔인할 만큼 아름다워', '', 'I bring the pain like', '', 'This that pink venom', 'This that pink venom', 'This that pink venom', 'Get ‘em, get ‘em, get ‘em', 'Straight to ya dome like whoa whoa whoa', 'Straight to ya dome like ah ah ah', '', 'Taste that pink venom', 'Taste that pink venom', 'Taste that pink venom', 'Get ‘em, get ‘em, get ‘em', 'Straight to ya dome like whoa whoa whoa', 'Straight to ya dome like ah ah ah', '', 'Black paint and ammo, got bodies like Rambo', 'Rest in peace, please light up a candle', 'This da life of a vandal, masked up and I’m still in Celine', 'Designer crimes or it wouldn’t be me', '', 'Diamonds shinin’ drive in silence I don’t mind it I’m ridin’', 'Flyin’ private side by side with da pilot Up in the sky', 'And I’m wildin’, stylin’ on them and there’s no chance', 'Cuz we got bodies on bodies like this a slow dance', '', '자 오늘 밤이야 난 독을 품은 꽃', '네 혼을 빼앗은 다음 Look what you made us do', '', '천천히 널 잠재울 FIRE 잔인할 만큼 아름다워', '', 'I bring the pain like', '', 'This that pink venom', 'This that pink venom', 'This that pink venom', 'Get ‘em, get ‘em, get ‘em', 'Straight to ya dome like whoa whoa whoa', 'Straight to ya dome like ah ah ah', '', 'Taste that pink venom', 'Taste that pink venom', 'Taste that pink venom', 'Get ‘em, get ‘em, get ‘em', 'Straight to ya dome like whoa whoa whoa', 'Straight to ya dome like ah ah ah', '', '원한다면 provoke us', '감당 못해 and you know this', '', '이미 퍼져버린 shot that potion 네 눈앞은 핑크빛 ocean', '', 'Come and give me all the smoke 도 아니면 모 like I’m so rock and roll', '', 'Come and give me all the smoke 다 줄 세워 봐 자 STOP DROP', '', 'I bring the pain like', '', 'La tatata La tatata La tatata La tatata', 'La tatata La tatata', '', 'Straight to ya', 'Straight to ya', 'Straight to ya dome like', '', 'La tatata La tatata La tatata La tatata', 'La tatata La tatata', '', 'I bring the pain like']"
IVE (아이브),LOVE DIVE,"['네가 참 궁금해 그건 너도 마찬가지', '이거면 충분해 쫓고 쫓는 이런 놀이', '참을 수 없는 이끌림과 호기심', '묘한 너와 나 두고 보면 알겠지', '', 'Woo 눈동자 아래로', 'Woo 감추고 있는 거', 'Woo yeah It’s so bad It’s good', '난 그 맘을 좀 봐야겠어', '', 'Narcissistic, my god I love it', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)', '숨 참고 love dive', '', 'Woo lalalalalalala', 'Woo 어서 와서 love dive', 'Woo oh perfect sacrifice yeah', '숨 참고 love dive', '', '마음은 이렇게 알다가도 모르지', '사랑이라는 건 한순간에 필 테니', '직접 들어와 두 눈으로 확인해', '내 맘 가장 깊은 데로 오면 돼', '', 'Woo 망설일 시간은', 'Woo 3초면 되는 걸', 'Woo yeah It’s so bad It’s good', '원하면 감히 뛰어들어', '', 'Narcissistic, my god I love it', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)', '숨 참고 love dive', '', 'Woo lalalalalalala', 'Woo 어서 와서 love dive', 'Woo oh perfect sacrifice yeah', '숨 참고 love dive', '', '숨 참고 love dive', '숨 참고 love dive', '숨 참고 love dive', '숨 참고 love dive', '', 'Woo lalalalalalala', 'Woo 어서 와서 love dive', 'Woo oh perfect sacrifice yeah', '숨 참고 love dive']"
"10CM, BIG Naughty (서동현)",딱 10CM만,"['1 2 3 4 5 6 7 8 9 10', '딱 10CM만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '자세히 보아야 예쁘다', '오래 보아야 사랑스럽다', '참 좋아하던 말이었는데 글쎄', '아무거나 눌러보다가', '한발자국 뒤에서', '보면 보이지 않던 아름다움이', '보인다는 말에', '집에 가는 길에', '액정 밖의 화면을 봤네', '맨날 본 똑같은 거리들이', '오늘따라 이상하게 예뻐 보이는 게', '싫은 것도 싫지 않아야 어른이 되지', '우리 조금만 반 발자국만', '한 발자국만 아님 반 발자국만', '멀어져 볼까', '1 2 3 4 5 6 7 8 9 10', '딱 10CM만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '꽃을 보았다 예뻤다', '자세히 보려고 꺾었다', '참 좋아하던 향이었는데 글쎄', '이제는 한 두번 누르는 향수처럼', '쉽게 피고 아쉽게 지는', '자세히 안 봐도 오래 안 봐도', '이 거리를 가득 채우는', '꽃들도 있더라고', '삐거덕 거리는', '빈 수레바퀴는', '쉼과 의심 그 사이 어딘가로 더', '미끄러져가는데', '일찍이 이미 희미해 져버린', '우리의 길 위 의미는 헤져버린', '목적지에 적힌 음표와 같아서', '1 2 3 4 5 6 7 8 9 10', '딱 10CM만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 10CM만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자']"
테이,Monologue,"['다 잊었다는 거짓말', '또 해 버렸죠', '내 마음에 그대란 사람', '없다고 했죠', '너무나 쉽게 잊혀졌다고', '이젠 남이라고', '서툰 내 사랑에 지쳐 떠난 그대', '너무 많이 울려서', '잡을 용기조차 낼 수 없었죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요 더 이상은', '그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요', '너무 투명해서 때론 불안했죠', '제멋대로 살아온 나를', '감당할 수 없을 것 같죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '고마웠어요 나를 사랑해 줘서', '나 같은 사람이 두 번 다시', '감히 받을 수 없는 사랑', '그대 때문에 행복했어요', '울지 마요 그대', '잘 생각해 봐요', '나쁜 일들만 가득했던 우리', '다 잊어야 해요', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요', '더 이상은 그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요']"
임영웅,사랑은 늘 도망가,"['눈물이 난다 이 길을 걸으면', '그 사람 손길이 자꾸 생각이 난다', '붙잡지 못하고 가슴만 떨었지', '내 아름답던 사람아', '사랑이란 게 참 쓰린 거더라', '잡으려 할수록 더 멀어지더라', '이별이란 게 참 쉬운 거더라', '내 잊지 못할 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '바람이 분다 옷깃을 세워도', '차가운 이별의 눈물이 차올라', '잊지 못해서 가슴에 사무친', '내 소중했던 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '기다림도 애태움도 다 버려야 하는데', '무얼 찾아 이 길을 서성일까', '무얼 찾아 여기 있나', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '잠시 쉬어가면 좋을 텐데']"
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),"['잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며', '사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠', '', '생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나', '뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠', '', '그리운 목소리 그리던 얼굴 참 많이도 기다렸어', '', '다시 만나자는 너의 한마디에 울컥 눈물이 나', '결국 너였단 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까', '', '같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어', '', '다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠', '', '그리운 만남을 그리던 날들 참 많이도 기다렸어', '', '다시 너를 만나 더욱 더 소중해 같은 마음이란 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까', '', '처음 느낌 그대로 설렘이 가득한 날', '', '고마워 다시 돌아와줘서', '', '그때 그 순간처럼 날', '', '안아줘', '', '결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까']"
