artist,song_name,lyric
ITZY (있지),SNEAKERS,"['Yeah yeah', 'Let’s go', 'Like what?', '자유로운 기분 I like that', '고민 따윈 already done, done', '색안경 끼고 보는 게 죄지', ""That's not my fault woah"", ""Told ya I don't care at all"", '내 멋대로 갈 거야', '필요 없어 order', ""Don't need no guidance"", ""I'm makin' my way"", ""I'm on my way up"", 'Run to the top', '난 언제든 straight up', '원래 두려운 게 없어 난', '상관없어 call me trouble', 'or you can call me weirdo', '나로 살고 싶어', '턱 끝을 치켜올린 채로', '다 가질 듯한 attitude 그거면 돼', 'Put my sneakers on', '하나 둘 ready, get set, go', 'Put my sneakers on', ""Put 'em up, put 'em up"", 'Put my sneakers on', '하나 둘 ready, get set, go', '멀리 가보자고 ya ya', ""Put 'em up, put 'em up"", '기다리던 순간 stand up, stand up', ""빨리 뛰는 심장 don't stop, don't stop"", 'Get loose 불태워 지금 my youth', ""The party ain't started"", '시작도 안 했어 난', '요즘 꽂힌 말이 하나 있지', 'My best is yet to come', '상관없어 call me trouble', 'or you can call me weirdo', '나로 살고 싶어', '턱 끝을 치켜올린 채로', '다 가질 듯한 attitude 그거면 돼', 'Put my sneakers on', '하나 둘 ready, get set, go', 'Put my sneakers on', ""Put 'em up, put 'em up"", 'Put my sneakers on', '하나 둘 ready, get set, go', '멀리 가보자고 ya ya', ""Put 'em up, put 'em up"", '자유롭게 뛰고 싶어 다른 사람', ""시선들 don't care now"", '어디까지 가게 될지 모르지만', '일단은 start right now', 'Yeah alright', '멈추지 마 to the top', 'Don’t worry about it cuz you know I', 'Put my sneakers on', '상관없어 call me trouble', 'or you can call me weirdo', '나로 살고 싶어', '턱 끝을 치켜 올린 채로', '다 가질 듯한 attitude 그거면 돼', 'You better put your sneakers on', 'Put my sneakers on', '하나 둘 ready, get set, go', 'Put my sneakers on', ""Put 'em up, put 'em up"", 'Put my sneakers on', '하나 둘 ready, get set, go', '멀리 가보자고 ya ya', ""Put 'em up, put 'em up"", '자유롭게 뛰고 싶어 다른 사람', ""시선들 don't care now"", '어디까지 가게 될지 모르지만', '일단은 start right now', 'Yeah alright', '멈추지 마 to the top', '같이 걸어 가보자고', ""Put 'em up, put 'em up""]"
임영웅,아버지,"['하얀 머리 뽑아 달라며', '한 개 백 원이라던', '그 시절 다 지나가고', '이젠 흰 눈만 남았네', '그렇게도 힘이 드냐며', '나를 위로하시다', '어느새 잠들어버린', '주름만 남은 내 아버지', '세상이 아무리 힘들어도', '당신 있으면 견딜 것 같아', '오래오래 날 지키며', '그냥 곁에만 있어 주세요', '활짝 웃는 모습이 어린애 같아 보여도', '아프다 말도 못 하는 사람', '이제는 내가 지켜줄게', '어린아이로 돌아가 버린', '사랑하는 내 아버지', '오래오래 날 지키며', '그냥 곁에만 있어 주세요', '활짝 웃는 모습이', '어린애 같아 보여도', '아프다 말도 못 하는 사람', '이제는 내가 지켜줄게', '어린아이로 돌아가 버린', '사랑하는 내 아버지', '사랑해요 내 아버지']"
싸이 (PSY),That That (prod. & feat. SUGA of BTS),"['20 22', 'PSY Coming back (이리 오너라)', '', 'Long time no see huh?', '오래간만이지 huh?', '우리 다시 웃고 울고 지지고 볶고', 'Let’s get loco', '', ""Pandemic's over uh"", '그래 기분이 오져 uh', '다시 그분이 오죠 uh', 'Everybody say', '', '뻑적지근해', '걸쩍지근해', '시끌벅적거리네', '너무 좋아 북적거리네', '동서남북 Aye', '강남강북 Aye', '싹 다 모여 Throw yo hands in the air', 'I say yeah', '', 'Can you feel it?', 'Can you feel it?', 'Oh oh woo yeah Oh woo oh', '', 'Can you feel it?', 'Can you feel it?', 'Oh oh woo yeah Ah', '', '준비하시고 (Go) 쏘세요 (Oh)', 'That that I like that (Like that)', '기분 좋아 Babe (Babe)', '흔들어 좌 우 위 아래로 (Sing it)', 'One two three to the four (Sing it)', '', 'That that I like that', 'That that I like that babe', 'That that I like that', 'It’s like that that yo', '', 'That that I like that', 'That that I like that babe', 'That that I like that', 'It’s like that', '', '야 내가 뭐 하는 사람인지 까먹었지?', 'That that I like that (Like that)', '시간이 지나도 변함없이', 'That that I like that (Like that)', ""I don't care I don't care that I like that"", 'That that I like that (Like that)', '내가 바라보고 바라왔던 사람들아', '모두 다 Ready set go', '되려 늘어난 맷집 때리던 분이 불편하겠지', '너네 바람대로 망할 거라 고사 지낸', '사람들을 모아다가 가볍게 때찌', '적당히 하라고 Oh oh oh', '그냥 닥치고 다 같이 놀아보자고 Oh oh oh', '민윤기와 박재상', '', 'Can you feel it?', 'Can you feel it?', 'Oh oh woo yeah Oh woo oh', '', 'Can you feel it?', 'Can you feel it?', 'Oh oh woo yeah Ah', '', '준비하시고 (Go) 쏘세요 (Oh)', 'That that I like that (Like that)', '기분 좋아 Babe (Babe)', '흔들어 좌 우 위 아래로 (Sing it)', 'One two three to the four (Sing it)', '', 'That that I like that', 'That that I like that babe', 'That that I like that', 'It’s like that that yo', '', 'That that I like that', 'That that I like that babe', 'That that I like that', 'It’s like that that yo', '', 'Do what you wanna', 'Say what you wanna', 'Do what you wanna (Say what?)', 'That that I like that babe', '', 'Do what you wanna', 'Say what you wanna', 'Do what you wanna (Say what?)', 'That that I like that babe', 'That that I like that']"
IVE (아이브),ELEVEN,"['따분한 나의 눈빛이', '무표정했던 얼굴이', '널 보며 빛나고 있어', '널 담은 눈동자는 odd', '', '내 안에 빼곡하게 피어나는 blue', '내가 지금 느끼는 이 감정들은 true', '내 입술을 간지럽힌 낯선 그 이름', '난 몰랐어 내 맘이 이리 다채로운지', '', '긴 꿈을 꾸게 해 이 방은 작은 heaven', '춤을 추곤 해 실컷 어지러울 만큼', 'Oh my, oh my god', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', 'You make me feel like eleven', '', '투명한 너와 나의 사이', '가만히 들여다보다', '일렁인 물결 속으로', '더 빠져드는 걸', '', '그날 향기로운 보랏빛의 mood', '셀 수 없이 반복해도 기분 좋은 꿈', '감히 누가 이렇게 날 설레게 할 줄', '난 몰랐어 내 맘이 이리 다채로운지', '', '긴 꿈을 꾸게 해 이 방은 작은 heaven', '춤을 추곤 해 실컷 어지러울 만큼', 'Oh my, oh my god', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', 'You make me feel like eleven', '', '내 앞에 있는 너를', '그 눈에 비친 나를 (그 눈에 비친 나를)', 'Aya, aya, aya (가만히 바라봐)', '내 앞에 있는 너를', '그 눈에 비친 나를', '가만히 바라봐', '', ""Don't say now"", '서둘러 오진 마', '이 순간이 좋아 난', '미처 몰랐어 내 맘이 이리 다채로운지', '', '긴 꿈을 꾸게 해 이 방은 작은 heaven', '춤을 추곤 해 실컷 어지러울 만큼', 'Oh my, oh my god', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', 'You make me feel like eleven', '', '내 앞에 있는 너를', '그 눈에 비친 나를', 'Aya, aya, aya', '내 앞에 있는 너를', '그 눈에 비친 나를', '사랑하게 됐거든']"
Charlie Puth,That's Hilarious,"['Verse 1:', 'Look how all tables,', 'Look how all the tables have turned,', 'Guess you’re finally realizing how bad you messed it up', 'Girl you’re only making,', 'Girl you’re only making it worse,', 'When you call like you always do when you want someone', '', '', 'Pre-Chorus:', 'You took away a year,', 'of my fucking life and I can’t get it back no more', 'So when I see those tears,', 'Coming out your eyes I hope it’s me there for', '', '', 'Chorus:', 'You didn’t love when you had me', 'But now you need me so badly', 'You can’t be serious', 'That’s hilarious', 'Thinking I would still want you', 'After the things you put me through', 'Yea You’re delirious', 'That’s hilarious', '', '', 'Verse 2:', 'Now you put the blame in,', 'Now you put the blame in reverse,', 'Tryina make me feel guilty for everything you’ve done', 'You’re another lesson,', 'You’re just another lesson I learned', 'Don’t give your heart to a girl who still got a broken one', '', '', 'Pre-Chorus:', 'You took away a year,', 'of my fucking life & I can’t get it back no more', 'So when I see those tears,', 'Coming out your eyes I hope it’s me there for', '', '', 'Chorus:', 'You didn’t love when you had me', 'But now you need me so badly', 'You can’t be serious', 'That’s hilarious', 'Thinking I would still want you', 'After the things you put me through', 'Yea You’re delirious', 'That’s hilarious', 'You didn’t love when you had me', 'But now you need me so badly', 'You can’t be serious (you can’t be serious)', 'That’s hilarious (that’s hilarious)', 'Thinking I would still want you', 'After the things you put me through', 'Yea You’re delirious (delirious)', 'That’s hilarious (that’s hilarious)']"
임영웅,A bientot,"['A bientot', 'A bientot', '이 밤이 지나면 괜찮아질 수 있을까', '쓰린 내 맘이 회복될 수가 있을까', '네가 떠난 빈자리가 너무 크니까', '그 공허함에 깔려 겨우 살고 있잖아', '기억은 잔인하고 후유증은 지독해', '겨우 잠을 이뤄도 꿈자리는 뒤숭숭해', '마음의 반을 도려내 버리고 난 후에', '너라는 감옥에서 풀려날 수 있었네', '38도 탕 안처럼 포근한', '그날의 온도는 아직도 나의 가슴에', '깊게 뿌리내려 뻗어 미련이란 놈은', '공기처럼 내 마음을 드나드네', '넌 빌런이자 하나님이야', '셀 수 없는 많은 노래를', '잉태하고 부숴버렸네', '널 향해 나는 기도해', '널 향해 나는 기도해', 'A bientot', 'A bientot', '인생은 너무 외로워', '너에게 전화를 거네요', 'A bientot', 'A bientot', '인생은 너무 외로워', '너에게 전화를 거네요', '이럼 안되지만', '그때 우린 뜨거운 용암처럼 사랑했네', '너의 영은 열이 되어 내 몸에 있네', '가열된 너의 온기가 아직도 식질 않네', '늦은 새벽 눈물로 가득 찬 내 베개', '사진에 찍혀 있던 우리들의 손가락', '추억이 되어 흘러내리는 그 손가락', '우리의 추억들이 나는 너무 좋았지', '라디오에서 소개된 사연들처럼', '난 요새', 'Young Thug Pick Up The Phone', '꽂혀있어', '너는 어떤 노래를 듣는지 궁금해', '아직도 힙합을 듣고 있어', '힙합을 듣고 있다면 언젠가', '이 노래도 들을 수 있을까', '넌 나에게 음악 그 이상의 존재였어', '서로를 이해하는 법 몰랐었던 우리들', '서툶 때문에 상처를 주고받곤 했잖아', '함께 나눈 감정들 너무 달달했기에', '다시 예전으로 발걸음을 돌려보려 해도', 'A bientot', 'A bientot', '인생은 너무 외로워', '너에게 전화를 거네요', 'A bientot', 'A bientot', '인생은 너무 외로워', '너에게 전화를 거네요', '이럼 안되지만', '인생이 너무 외로워', '허공에 말을 걸지만', '그건 단조로운 리듬이 돼', '그건 단조로운 리듬이 돼', '마음이 너무 외로워', '허공에 말을 걸지만', '그건 단조로운 리듬이 돼', '그건 단조로운 리듬이 돼', '그건 단조로운 리듬이', '그건 단조로운 리듬이 되고 있네', 'A bientot', 'A bientot', '이제는 너를 잊을게 잊을게', 'A bientot']"
김승민,내 기쁨은 너가 벤틀리를 끄는 거야,"['baby get the message', 'life is hard to maintain', 'your life is like a tape', '가끔은 쉽게 발을 빼', '분명 네 꿈 짓밟기 위해', '신발을 사는 사람 있을 테니', '취소가 불가능해 많은 사람들한테', '네 말은 세상 비슷한 걸 테니까', '참아야 해 아무 답이 없대', '남겨지긴 싫고 떠나는 것도 두려워', '사람은 잘만 왔다가 떠나는데', '선택지가 있는데 안 좋은 결정했대', '난 돈은 그럴 때 쓰려고 버는 건데', '난 지켜야만 하는 게 너의 자존심인데', '다 지키면서 살 수만은 없기에', '답이 없네 아무 답이 없네', '집에 오는 bus에서 아이처럼', '밖을 쳐다보았겠지만', '살짝 독해지는 걸 느껴 어른처럼', '짐을 싸고 떠날 거야', 'even if I lose it all', 'Nike를 신고 멀어지는', '거지 같은 거리에서', '벌어지는 많은 일 괜찮냐 물었어', '넌 oh 넌 아이처럼', 'maybe or not maybe or not', '혼자 다 참아야만 했나 봐', '멀어지는 거지 같은 거리에서', '벌어지는 많은 일 괜찮냐 물었어', '넌 oh 넌 아이처럼', 'maybe or not maybe or not', '혼자 다 삼켜야만 했나 봐', '넌 늘 아파하고 난 늘 도와주려고만 하지', '구해달라 한적 한번 없이', '혼자 붕대를 감지', '난 네 등 뒤에 있어 또 등은 손 안 닿고', '혼자 낑낑대는 너를 보면 장전된 총', '얼굴에 대고 살아가는 것만 같아', '넌 나무 위에 올라간', '새끼 고양이 같은 거 아니라고', '혼자 그냥 두라고 슬퍼하게 두라고', '혼자 슬퍼해서 좋을 건 또 뭔데', 'monday to sunday one day to 평생', '너가 white frappe나 마시며', '수다나 떨길 바래', '세월 가면 잊혀질', '점수 따위에 연연하지 말고', '너의 dice 낮게 나오면 나에게 말해', '너의 하루가 매일 행복 일순 없겠지만', '내 역할은 그 사실을 부정하는 것', '널 다치게 한 하루를 용서하지도 말 것', '물밀려 오듯 올 거야', '위험은 pied piper', '그 위험은 다 나의 것', '넌 알아둬야 해 이걸', '언젠간 나 역시도', '무너져 버리고 말 거야', '이 거지 같은 세상에서', '혼자는 불가능하겠지만', '그때 가선 너의 가족을 꾸리게 될 거야', '너무 좋은 거래엔 항상 거짓이 섞여 있어', '사람을 곁에 두되 너무 믿지 말 것', '내가 너한테 그랬었던 것처럼 무조건', '너의 아이들을 절대적으로 지킬 것']"
임영웅,손이 참 곱던 그대,"['손이 참 곱던 그대 어느새 이렇게', '내 맘 깊숙이 스며들었나요', '나 그대의 그 미소에', '맘이 떨려 한순간', '그대 때문에 음흠 그대여 음흠', '날 받아 주세요', '나 그대에게 안길게요', '한순간에 일초만에', '당장 너에게 달려갈게', '저 붉은 태양보다 그대만', '저 푸른 하늘보다 그대만', '사랑해 너무 사랑해', '세상 그 무엇보다', '밝게 날 비추네 음흠', '그대여 음흠', '날 받아 준다면', '다 그대에게 바칠게요', '내 하루의 일분일초까지', '당신만 생각할게', '저 붉은 태양보다 그대만', '저 푸른 하늘보다 그대만', '사랑해 너무 사랑해', '세상 그 무엇보다', '밝게 날 비추네 음흠 그대여 유후', '저 지는 노을보다 그대만', '저 우주 별빛보다 그대만', '사랑해 너를 사랑해', '세상 그 무엇보다', '밝게 날 비추네 음흠 그대여 음흠', '손이 참 곱던 그대', '내 맘 깊숙이', '나 그대의 그 미소에 음흠']"
LE SSERAFIM (르세라핌),FEARLESS,"['Bam ba ba ba ba bam ba ba ba ba bam', 'Ba ba ba ba bam', 'Bam ba ba ba ba bam ba ba ba ba bam', 'Ba ba ba ba bam', '', '제일 높은 곳에 난 닿길 원해 느꼈어 내 answer', '내 혈관 속에 날뛰는 new wave 내 거대한 passion', '관심 없어 과거에 모두가 알고 있는 그 트러블에 huh', ""I'm fearless a new b**ch new crazy 올라가 next one"", '', '밟아줘 highway highway', '멋진 결말에 닿게', '내 흉짐도 나의 일부라면', '겁이 난 없지 없지', '', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'Mmmm I’m fearless huh', '', 'You should get away', 'Get a get a get away', '다치지 않게 다치 다치지 않게', 'You should get away', 'Get a get a get away', 'Mmmm I’m fearless huh', '', 'Bam ba ba ba ba bam ba ba ba ba bam', 'Ba ba ba ba bam', 'Bam ba ba ba ba bam ba ba ba ba bam', 'Ba ba ba ba bam', '', '욕심을 숨기라는 네 말들은 이상해', '겸손한 연기 같은 건 더 이상 안 해', '가져와 forever win 내게 ay', '가슴팍에 숫자 1 내게 ay', '내 밑으로 조아린 세계 ay', 'Take the world break it down break you down down', '', '밟아줘 highway highway', '멋진 결말에 닿게', '내 흉짐도 나의 일부라면', '겁이 난 없지 없지', '', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'Mmmm I’m fearless huh', '', 'You should get away', 'Get a get a get away', '다치지 않게 다치 다치지 않게', 'You should get away', 'Get a get a get away', 'Mmmm I’m fearless huh', '', 'Bam ba ba ba ba bam ba ba ba ba bam', 'Ba ba ba ba bam', 'Bam ba ba ba ba bam ba ba ba ba', 'Mmmm I’m fearless huh', '', '더는 없어 패배', '준비된 내 payback', 'Bring it 당장 내게', 'Mmmm I’m fearless huh', '', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'What you lookin’ at', 'What you what you lookin’ at', 'Mmmm I’m fearless huh', '', 'You should get away', 'Get a get a get away', '다치지 않게 다치 다치지 않게', 'You should get away', 'Get a get a get away', 'Mmmm I’m fearless huh']"
임영웅,사랑해 진짜,"['숱한 날들 모두 내게 남아있는 추억들', '빛바랜 기억들 사이', '그대 모습만이 아련하게 빛나네', '지나간 세월이 야속하진 않아', '그댈 만났으므로', '피어날 내일을 기대해 오', '그대 내게 와줬으니', '나 진짜 진짜 당신만을 사랑하고 사랑해', '내 삶의 반쪽 그대만을', '아 나는 그대만 보고 있어', '아 나는 그대를 사랑합니다', '오색빛의 색이 물든 미완성의 그림 하나', '그래 내 마음 같겠지', '어느 날 그대가 내게 오기 전까지', '지나간 시간이 야속하진 않아', '그댈 만났으므로', '피어날 내일을 기대해', '그대 내게 와줬으니', '나 진짜 진짜 당신만을 사랑하고 사랑해', '내 삶의 반쪽 그대만을', '아 나는 그대만 보고 있어', '아 나는 그대를 사랑합니다', '내게 와준 그대여 고맙고 또 고마워', '하늘이 무너져도 그댈 찾을 수 있어', '나 진짜 진짜 당신만을 사랑하고 사랑해', '내 삶의 반쪽 그대만을', '아 나는 그대만 보고 있어', '아 나는 그대를 사랑합니다', '그대를 사랑합니다']"
임영웅,인생찬가,"['꿈처럼 지나간 시간', '나는 무얼 찾고 싶었나', '지도도 없이 걸어온 삶을', '후회하진 않으리', '떠난 어제는 떠날 오늘로', '남겨지기도 하지', '나의 친구여 나의 형제여', '내 이름 불러주오', '미안하다 나의 인생아', '앞만 보며 살아왔구나', '찬란한 순간이여 영원하라', '내일은 처음 가는 길', '언제나처럼 또 두려워', '버들강아지 활짝 웃는 날', '후회하지 않으리', '비가 내리면 노래하리', '눈이 내려도 좋아', '나의 친구여 나의 형제여', '내 이름 불러 주오', '미안하다 나의 인생아', '앞만 보며 살아왔구나', '찬란한 순간이여 영원하라', '영원한 순간이여 찬란하라']"
김민석 (멜로망스),취중고백,"['뭐하고 있었니 늦었지만', '잠시 나올래', '너의 집 골목에 있는', '놀이터에 앉아 있어', '친구들 만나서 오랜만에', '술을 좀 했는데', '자꾸만 니 얼굴 떠올라', '무작정 달려왔어', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '눈물이 날만큼 원하고 있어', '정말로 몰랐니', '가끔 전화해 장난치듯', '주말엔 뭐할거냐며', '너의 관심 끌던 나를', '그리고 한번씩 누나 주려 샀는데', '너 그냥 준다고', '생색 낸 선물도 너 때문에 산거야', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '진심이야 믿어줘', '갑자기 이런 말 놀랐다면 미안해', '부담이 되는게 당연해', '이해해 널', '하지만 내 고백도 이해해 주겠니 oh', '지금 당장 대답하진마', '나와 일주일만 사귀어줄래', '후회없이 잘 해주고 싶은데', '그 후에도 니가 싫다면', '나 그때 포기할게', '귀찮게 안할게 혼자 아플게', '진심이야 너를 사랑하고 있어']"
Charlie Puth,I Don't Think That I Like Her,"['Get her name and get her number', 'Find out all of the things', 'that we have in common', 'Never all the differences,', 'oh, yeah', 'Meet her parents, meet her brother', ""Then she starts sleepin'"", 'over the crib on weekends', 'Like a real relationship, oh, no', ""For me, the stars are alignin'"", ""But for her, it's bad timin'"", ""So she just can't be mine"", ""I don't think"", 'that I like her anymore', ""'Cause they're all the same"", 'All they wanna do is break', 'my heart, my heart (Oh-oh)', ""I don't think"", 'that I like her anymore', ""'Cause they're all the same"", 'They just wanna see me', 'fall apart, apart (Oh-oh)', 'So I hook up on a rebound', ""And I say that I'm gonna be"", 'single for life', ""But she's so pretty"", 'and nice (Pretty and nice)', 'So I made just one exception', 'But I find out eventually', ""I'm not her type"", ""Baby, that's the reason why, that"", ""For me, the stars are alignin'"", ""But for her, it's bad timin'"", ""So she just can't be mine"", ""I don't think"", 'that I like her anymore (Yeah)', ""'Cause they're all the same"", 'All they wanna do is break', 'my heart, my heart (Oh-oh)', ""I don't think"", 'that I like her anymore (No)', ""'Cause they're all the same"", 'They just wanna see me', 'fall apart, apart (Oh-oh)', ""I'm trying not to be bitter"", 'But damn it, I miss her', ""'Cause she's one of a kind"", ""For me, the stars are alignin'"", ""But for her, it's bad timin'"", ""So she just can't be mine"", ""I don't think"", 'that I like her anymore', ""'Cause they're all the same"", 'All they wanna do is break', 'my heart, my heart (Oh-oh)', ""I don't think"", 'that I like her anymore', ""'Cause they're all the same"", 'They just wanna see me', 'fall apart, apart (Oh-oh)', 'Then we fall,', 'we fall, fall, fall apart now', ""I don't think"", 'that I like her anymore', ""'Cause they're all the same"", 'They just wanna see me', 'fall apart, apart (Oh-oh)']"
